************** Maiores sequências **************
3 números seguidos: 163 jogos (11,82%)
1B 1B 3B 3B 7B: 1 jogos (0,07%)
3B 1B 3B 1B 1B 6B: 1 jogos (0,07%)
1B 1B 9B 1B 2B 1B: 1 jogos (0,07%)
2B 1B 1B 1B 4B 3B 2B 1B: 1 jogos (0,07%)
1B 4B 2B 1B 5B 2B: 1 jogos (0,07%)
1B 1B 2B 3B 4B 4B: 1 jogos (0,07%)
5B 3B 2B 4B 1B: 2 jogos (0,15%)
2B 1B 2B 1B 1B 4B 4B: 2 jogos (0,15%)
2B 1B 1B 4B 1B 2B 4B: 1 jogos (0,07%)
2B 2B 1B 2B 1B 2B 1B 4B: 1 jogos (0,07%)
4B 1B 2B 2B 2B 2B 2B: 1 jogos (0,07%)
1B 2B 7B 2B 2B 1B: 2 jogos (0,15%)
1B 1B 2B 2B 2B 2B 3B 2B: 1 jogos (0,07%)
4B 1B 4B 2B 3B 1B: 1 jogos (0,07%)
5B 2B 2B 3B 2B 1B: 1 jogos (0,07%)
3B 2B 4B 2B 2B 2B: 2 jogos (0,15%)
1B 8B 1B 1B 1B 2B 1B: 1 jogos (0,07%)
6B 1B 4B 1B 2B 1B: 1 jogos (0,07%)
1B 2B 4B 2B 1B 2B 1B 2B: 2 jogos (0,15%)
2B 1B 3B 2B 3B 1B 2B 1B: 1 jogos (0,07%)
1B 1B 1B 1B 1B 3B 1B 1B 2B 3B: 1 jogos (0,07%)
1B 4B 3B 1B 5B 1B: 2 jogos (0,15%)
1B 2B 4B 1B 3B 2B 2B: 1 jogos (0,07%)
4B 1B 2B 2B 5B 1B: 1 jogos (0,07%)
2B 3B 1B 4B 3B 2B: 2 jogos (0,15%)
3B 6B 1B 3B 2B: 1 jogos (0,07%)
1B 4B 1B 3B 3B 2B 1B: 1 jogos (0,07%)
2B 6B 1B 4B 1B 1B: 1 jogos (0,07%)
3B 7B 2B 1B 1B 1B: 1 jogos (0,07%)
1B 3B 1B 4B 2B 4B: 1 jogos (0,07%)
1B 1B 1B 4B 1B 2B 5B: 2 jogos (0,15%)
1B 1B 1B 2B 3B 2B 4B 1B: 1 jogos (0,07%)
2B 2B 1B 4B 3B 3B: 1 jogos (0,07%)
2B 2B 3B 1B 1B 2B 1B 2B 1B: 1 jogos (0,07%)
4B 3B 8B: 1 jogos (0,07%)
3B 2B 1B 3B 4B 2B: 1 jogos (0,07%)
4B 3B 2B 1B 1B 2B 2B: 1 jogos (0,07%)
5B 1B 4B 2B 2B 1B: 1 jogos (0,07%)
3B 1B 1B 5B 3B 1B 1B: 1 jogos (0,07%)
1B 3B 1B 1B 1B 1B 6B 1B: 1 jogos (0,07%)
5B 2B 2B 1B 1B 1B 3B: 1 jogos (0,07%)
1B 5B 3B 1B 2B 2B 1B: 1 jogos (0,07%)
1B 3B 1B 3B 4B 2B 1B: 1 jogos (0,07%)
1B 3B 2B 1B 1B 1B 6B: 1 jogos (0,07%)
1B 1B 1B 2B 5B 2B 1B 1B 1B: 1 jogos (0,07%)
2B 1B 2B 1B 3B 5B 1B: 1 jogos (0,07%)
3B 2B 1B 4B 1B 4B: 1 jogos (0,07%)
1B 1B 6B 6B 1B: 1 jogos (0,07%)
4B 2B 1B 1B 3B 2B 2B: 1 jogos (0,07%)
2B 1B 1B 1B 6B 4B: 1 jogos (0,07%)
3B 1B 2B 2B 1B 3B 1B 2B: 1 jogos (0,07%)
1B 1B 4B 2B 5B 2B: 1 jogos (0,07%)
2B 4B 1B 5B 3B: 1 jogos (0,07%)
2B 2B 1B 1B 3B 1B 5B: 1 jogos (0,07%)
2B 1B 1B 1B 2B 1B 1B 4B 2B: 1 jogos (0,07%)
3B 3B 3B 2B 1B 1B 2B: 1 jogos (0,07%)
2B 1B 1B 5B 2B 4B: 2 jogos (0,15%)
2B 3B 4B 1B 1B 3B 1B: 1 jogos (0,07%)
2B 2B 2B 2B 2B 3B 2B: 1 jogos (0,07%)
1B 1B 1B 2B 1B 6B 3B: 1 jogos (0,07%)
1B 1B 5B 1B 1B 1B 5B: 1 jogos (0,07%)
3B 1B 6B 1B 1B 1B 2B: 1 jogos (0,07%)
6B 1B 1B 1B 2B 4B: 1 jogos (0,07%)
2B 2B 1B 3B 2B 2B 3B: 1 jogos (0,07%)
3B 2B 3B 4B 1B 2B: 1 jogos (0,07%)
1B 2B 1B 2B 3B 5B 1B: 1 jogos (0,07%)
1B 2B 8B 2B 2B: 1 jogos (0,07%)
2B 1B 2B 2B 1B 1B 1B 2B 1B 2B: 1 jogos (0,07%)
1B 6B 6B 2B: 1 jogos (0,07%)
6B 1B 2B 2B 1B 1B 2B: 1 jogos (0,07%)
1B 2B 4B 4B 3B 1B: 1 jogos (0,07%)
1B 1B 1B 1B 1B 4B 6B: 2 jogos (0,15%)
6B 1B 3B 1B 1B 1B 2B: 2 jogos (0,15%)
3B 3B 1B 3B 2B 3B: 1 jogos (0,07%)
3B 2B 1B 2B 2B 1B 4B: 1 jogos (0,07%)
2B 1B 1B 2B 4B 3B 1B 1B: 1 jogos (0,07%)
3B 3B 3B 6B: 1 jogos (0,07%)
3B 1B 3B 2B 1B 2B 3B: 1 jogos (0,07%)
4B 1B 1B 1B 3B 2B 3B: 1 jogos (0,07%)
1B 9B 2B 2B 1B: 1 jogos (0,07%)
1B 6B 1B 1B 1B 1B 1B 2B 1B: 1 jogos (0,07%)
1B 2B 4B 3B 5B: 1 jogos (0,07%)
2B 1B 2B 5B 1B 3B 1B: 1 jogos (0,07%)
4B 2B 1B 1B 7B: 1 jogos (0,07%)
2B 1B 1B 5B 1B 1B 1B 3B: 1 jogos (0,07%)
2B 3B 6B 2B 1B 1B: 1 jogos (0,07%)
1B 1B 4B 4B 5B: 1 jogos (0,07%)
1B 3B 2B 1B 3B 3B 2B: 1 jogos (0,07%)
3B 1B 3B 1B 1B 3B 3B: 2 jogos (0,15%)
4B 1B 1B 3B 1B 1B 4B: 1 jogos (0,07%)
8B 2B 1B 1B 1B 2B: 1 jogos (0,07%)
1B 5B 4B 5B: 1 jogos (0,07%)
3B 3B 1B 2B 1B 1B 3B 1B: 1 jogos (0,07%)
1B 1B 3B 1B 2B 1B 3B 3B: 1 jogos (0,07%)
1B 1B 5B 5B 1B 1B 1B: 1 jogos (0,07%)
2B 1B 4B 2B 1B 1B 2B 1B 1B: 1 jogos (0,07%)
1B 3B 3B 4B 4B: 1 jogos (0,07%)
1B 1B 3B 5B 5B: 1 jogos (0,07%)
2B 1B 1B 2B 1B 1B 7B: 1 jogos (0,07%)
2B 4B 1B 1B 1B 3B 3B: 2 jogos (0,15%)
1B 3B 2B 1B 4B 2B 2B: 1 jogos (0,07%)
1B 1B 3B 2B 1B 7B: 1 jogos (0,07%)
6B 1B 4B 4B: 1 jogos (0,07%)
5B 3B 3B 3B 1B: 1 jogos (0,07%)
1B 4B 4B 2B 3B 1B: 1 jogos (0,07%)
3B 4B 2B 1B 3B 2B: 1 jogos (0,07%)
4B 1B 4B 2B 4B: 1 jogos (0,07%)
8B 2B 1B 4B: 1 jogos (0,07%)
2B 4B 6B 2B 1B: 1 jogos (0,07%)
6B 1B 2B 1B 5B: 1 jogos (0,07%)
2B 2B 2B 6B 1B 2B: 1 jogos (0,07%)
2B 2B 8B 2B 1B: 1 jogos (0,07%)
1B 1B 1B 2B 2B 4B 4B: 1 jogos (0,07%)
7B 3B 2B 3B: 1 jogos (0,07%)
4B 2B 1B 4B 4B: 2 jogos (0,15%)
3B 4B 5B 2B 1B: 1 jogos (0,07%)
2B 1B 2B 7B 3B: 1 jogos (0,07%)
4B 1B 2B 4B 1B 2B 1B: 1 jogos (0,07%)
1B 2B 2B 4B 3B 1B 2B: 1 jogos (0,07%)
1B 1B 3B 2B 2B 2B 2B 2B: 1 jogos (0,07%)
1B 1B 1B 3B 4B 1B 4B: 1 jogos (0,07%)
